% Model:              Helmholz_Coils_Beta_Release.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jun 23 2020, 17:05
% Dimension:          3
% Nodes:              46
% Expressions:        3
% Description:        Magnetic field, x component, Magnetic field, y component, Magnetic field, z component
% Length unit:        m
% X                       Y                        Z                        mf.Hx (A/m)              mf.Hy (A/m)              mf.Hz (A/m)
0                         0                        0.19918319092313297      0.12543586265631154      0.06789093476917903      4.03516513995037
0                         0                        0.2                      0.12038845557051948      0.06560163258427934      4.0103868415460555
0                         0                        0.19872728235761095      -0.12696812955810943     0.09568680727967137      4.166305396085649
0                         0                        0.19667858008974992      -0.09707496519119835     0.07233827640307205      4.1465179371784195
0                         0                        0.19374779002805276      0.045322722906061645     0.019808749676018807     4.282860810573953
0                         0                        0.16646167290240077      -0.015421095099609752    -0.017995668101659763    3.6348600414179595
0                         0                        0.16250722453315042      -0.0015697694830015161   0.0019896899168476622    3.4980367361135496
0                         0                        0.12627214062224512      0.024570887852396504     -0.005740593851759903    2.2082215167073307
0                         0                        0.13251902666506238      -0.039020948849002736    0.024588056163996366     2.4708165510409175
0                         0                        0.1352746689680751       0.011017859684048012     -0.001216657057105811    2.4807858587976312
0                         0                        0.1563006478589593       0.006147595204948364     6.370595927657111E-4     3.2670428688613184
0                         0                        0.1197862518297092       0.03776275063119095      -0.03829980674191401     1.9930561671231932
0                         0                        0.12390818262862513      0.06435111770740032      -0.057900143071922636    2.104185003484408
0                         0                        0.07193158504309294      -0.039661344801938336    -0.0754127997012296      0.9749599534190567
0                         0                        0.07228233793748151      0.009641369290328328     -0.00415414202611161     0.9109947646668837
0                         0                        0.07655659848168461      0.005685834186227892     -0.003931821250389469    1.027128611417913
0                         0                        0.1020970978839632       -0.0032934382825490025   0.005569509370034939     1.5656582827671386
0                         0                        0.06823973112534149      0.0022059172509743897    -0.016670336883945272    0.8999186541609225
0                         0                        0.06841637402701106      0.00833749890068725      0.002265444639385846     0.9065513529211261
0                         0                        0.06969411247225199      -0.028543672722794244    0.0037290601707697466    0.9119261727395479
0                         0                        0.07170358115423453      0.021265138402482845     0.009550298397346252     0.9651936578026491
0                         0                        1.1295791454699056E-4    0.0047145172961230485    0.014591130199470666     0.46612491373187365
0                         0                        0.0015172076458224437    0.004662809270435173     0.013946759349624083     0.4750664020002489
0                         0                        3.0762629386893448E-6    1.8240765351302277E-4    0.01405807803184667      0.4808733863692022
0                         0                        -2.5055803777596086E-6   0.04215959758284576      2.875825685948701E-4     0.5373396790401482
0                         0                        -8.618227989587446E-8    0.04538490419603173      -0.003033866828669705    0.540244507913542
0                         0                        2.7243399118026534E-6    -0.019085563097793943    -0.02302966404806052     0.5214482218044356
0                         0                        -9.482965591278703E-6    0.02181067798112903      0.03838730066232377      0.45975806496176846
0                         0                        -7.339241547221764E-6    0.02181231963514612      0.03839050489887767      0.4597465059634429
0                         0                        -1.2137453213184601E-5   0.013831109660370312     0.009434938743934964     0.34631385375382345
0                         0                        -0.06417097045266304     -0.00946946584845005     -0.01152791466589918     0.8319797462505479
0                         0                        -0.084201770865351       0.01754202667895159      0.036125909551857016     1.1032397886384893
0                         0                        -0.0963214540141808      -0.012110857283546142    -0.008714511379798005    1.34737169663677
0                         0                        -0.10024023251295808     -0.004545456094703212    -0.004157689916326665    1.4623629307245474
0                         0                        -0.10959765690610336     -0.00332084010981215     -0.016132078083604978    1.69096975392344
0                         0                        -0.12538342677229863     -0.007479610569677543    0.004271217484528741     2.1319656452552076
0                         0                        -0.12571577025254793     -0.006204390167364014    0.003945213950988789     2.1430365133787004
0                         0                        -0.15120543468389386     -1.9343846023976528E-4   -0.0014788432776334556   3.081963979571576
0                         0                        -0.16610523462940632     -0.010198381667813467    0.008776856708043361     3.613792544231429
0                         0                        -0.1639669015581927      -0.003392603124382766    0.0019150509007395383    3.539975622335469
0                         0                        -0.16970929473081386     0.0035483954036369604    0.021980283067823854     3.7354886091775135
0                         0                        -0.19992519436533937     0.0011942813566169093    -0.03733867657657161     4.416936558387556
0                         0                        -0.1999763120945383      0.0011902987856577186    -0.03743902938923357     4.418089397526956
0                         0                        -0.19999853771263462     0.0336635394891153       -0.01843359800133049     4.24151811054833
0                         0                        -0.2                     -0.06842527784411784     0.01673380678643011      4.140811766576081
0                         0                        -0.19999898290833032     -0.06844296330397141     0.016733165441115916     4.140825464274192
