% Model:              Helmholz_Coils_Beta_Release.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jun 23 2020, 17:20
% Dimension:          3
% Nodes:              44
% Expressions:        3
% Description:        Magnetic field, x component, Magnetic field, y component, Magnetic field, z component
% Length unit:        m
% X                       Y                        Z                        mf.Hx (A/m)              mf.Hy (A/m)              mf.Hz (A/m)
0                         0                        -0.24879024692413662     -3.8166935380317974E-4   5.500189204169137E-4     1.2805887878270323
0                         0                        -0.24687773483700653     -7.302167390418491E-4    2.571492922656395E-4     1.2836602151257213
0                         0                        -0.25                    -4.0849879255009275E-4   5.984278026270447E-4     1.2795123623255318
0                         0                        -0.21887872187318624     3.930966562644597E-4     -3.811365789612031E-4    1.3079790633607182
0                         0                        -0.20468683047033057     2.2893141204045808E-4    -1.1068180003895055E-4   1.3174606354627103
0                         0                        -0.16952370315819568     9.77214636268924E-4      -9.388146715915133E-5    1.3376871684813414
0                         0                        -0.15070066081706773     -3.996731691392979E-5    0.0013655502213154981    1.3442442032270088
0                         0                        -0.14335152454238032     -0.001281364065431651    4.1013157638040025E-6    1.3476002187269118
0                         0                        -0.15811117518691523     0.002473636945107249     -6.557605412502775E-4    1.3434492977106165
0                         0                        -0.13349369602448877     -6.189849132748497E-4    -6.826641794890678E-5    1.3492285894745142
0                         0                        -0.12156055836019103     1.7657894805307204E-4    -1.3271557002793706E-4   1.351705173704856
0                         0                        -0.09842510714465194     1.3238538391734805E-4    1.990864604118169E-4     1.35389334738139
0                         0                        -0.08910339894192168     2.0012616649277973E-4    3.492772560686247E-4     1.3551986040909136
0                         0                        -0.08296491291881486     9.064668429226777E-5     -3.275365885869656E-4    1.355572872788857
0                         0                        -4.776817388862931E-7    -1.9689450568959317E-5   -9.901956643379454E-5    1.357518836269586
0                         0                        -2.3292810399921926E-7   5.6424408553193454E-5    7.378935351449655E-5     1.3569383539941022
0                         0                        -0.08682713674803039     1.369629636654185E-4     -4.1187740704933873E-4   1.3554207080817744
0                         0                        -0.08588336775878827     1.2564516591183158E-4    -3.9126797255957166E-4   1.3554578908909931
0                         0                        0.06962190572459864      -1.7929324330469962E-5   4.1767637385338325E-5    1.356520814558168
0                         0                        0.07788955154546162      5.015500975845175E-4     -7.102715867668246E-4    1.3559696393394014
0                         0                        1.0733775454574435E-6    5.2317344409554086E-5    2.2649669399641704E-5    1.356750899677832
0                         0                        -6.338853478227158E-8    5.6424957119768594E-5    7.379025752598862E-5     1.3569383536749542
0                         0                        -4.5239290147325306E-8   8.130617620114028E-5     -5.729839149502461E-5    1.3570297816267667
0                         0                        -5.907972361329783E-9    8.130613914673242E-5     -5.729837800194371E-5    1.3570297814951948
0                         0                        6.457010168214872E-7     3.163241806636671E-5     2.1832634842986642E-5    1.356809942859258
0                         0                        6.387539985830415E-8     5.505222267406716E-5     1.503855959995674E-4     1.357013335119995
0                         0                        1.0781512566060414E-7    3.1632845799407344E-5    2.1832590848502472E-5    1.3568099465990893
0                         0                        1.9765235614865873E-8    5.5052159311926214E-5    1.5038593806783942E-4    1.357013334992204
0                         0                        0.12854067416005066      -7.00697685545095E-5     -5.096285528419259E-4    1.3506414484520926
0                         0                        0.16927737840220425      1.1293277603745011E-5    1.159738598285853E-4     1.3363717170833402
0                         0                        0.1172445953933029       -5.00500878741442E-5     2.4184334203172805E-4    1.3514639534854962
0                         0                        0.08021358770924791      -1.15566087400413E-4     1.5757058150768228E-4    1.355736318014529
0                         0                        0.09197862689163283      7.756125902511559E-5     2.930388250194194E-4     1.3545853188788464
0                         0                        0.09440799175242931      9.100940532174773E-5     7.263768169688461E-5     1.3545305121170814
0                         0                        0.11033573497131255      -7.374724890061874E-6    1.9065279249791408E-4    1.3523916932621571
0                         0                        0.1958860753995209       3.9662563194482064E-4    0.0010009638529198074    1.326457398233183
0                         0                        0.20226220426196728      -4.668304191795776E-4    -7.453251482787377E-4    1.319941578482302
0                         0                        0.20730915208900758      0.0016792026119253729    -6.764228923306772E-4    1.3164253722702168
0                         0                        0.22772241475256527      -5.4770351417961E-4      7.552267664799451E-5     1.299671756019842
0                         0                        0.2291972202877216       -2.931514751069878E-4    -3.6609545213936716E-4   1.2988074128735438
0                         0                        0.25                     1.7010030693075435E-4    1.3783210159344116E-4    1.2776838128107006
0                         0                        0.21203929120775755      -4.3795616847587906E-4   -0.0010156438940154913   1.3123835146684368
0                         0                        0.20952364289335412      -0.001222322873690822    -9.16007854727712E-4     1.3144871342847064
0                         0                        0.21008729630852224      -0.0010936590090788398   -8.394550072514484E-4    1.3140563729312347
